,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,0.0,0.0,0.0,0.0,sigmoid,0.001,3,1000,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 3, 'C': 1000}",1.0,0.9583333333333334,1.0,1.0,1.0,0.9916666666666668,0.016666666666666653,1
8,0.003124570846557617,0.006249141693115233,0.0,0.0,linear,,4,10,"{'kernel': 'linear', 'degree': 4, 'C': 10}",1.0,0.875,1.0,1.0,0.9583333333333334,0.9666666666666666,0.0485912657903775,2
2,0.0,0.0,0.0031249523162841797,0.006249904632568359,linear,,5,100,"{'kernel': 'linear', 'degree': 5, 'C': 100}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,3
6,0.0,0.0,0.0,0.0,linear,,4,1000,"{'kernel': 'linear', 'degree': 4, 'C': 1000}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,3
7,0.0,0.0,0.0,0.0,linear,,4,100,"{'kernel': 'linear', 'degree': 4, 'C': 100}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,3
9,0.0,0.0,0.0,0.0,linear,,5,1000,"{'kernel': 'linear', 'degree': 5, 'C': 1000}",1.0,0.875,1.0,1.0,0.875,0.95,0.06123724356957945,3
4,0.0,0.0,0.0,0.0,sigmoid,0.01,4,10,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 4, 'C': 10}",1.0,0.8333333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.05651941652604389,7
0,0.0,0.0,0.006249761581420899,0.007654363453548278,sigmoid,0.0001,3,1,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 3, 'C': 1}",0.3333333333333333,0.375,0.375,0.375,0.375,0.36666666666666664,0.016666666666666673,8
1,0.0,0.0,0.0,0.0,"rbf, lienear",0.0001,,100,"{'kernel': 'rbf, lienear', 'gamma': 0.0001, 'C': 100}",,,,,,,,9
5,0.0,0.0,0.0,0.0,"rbf, lienear",0.001,,100,"{'kernel': 'rbf, lienear', 'gamma': 0.001, 'C': 100}",,,,,,,,10
